12.1 ч.1 | Управление транспортным средством, не зарегистрированным в установленном порядке | 500 – 800 руб.
УК 2643 ч.1 | Управление автомобилем, трамваем либо другим механическим транспортным средством лицом, лишенным права управления транспортными средствами и подвергнутым административному наказанию за деяние | 150 000 - 250 000 руб., или лишение заработной платы или иного дохода осужденного 12-24 мес., или обязательные работы до 360 часов, или принудительные работы до 12 мес., или лишение свободы до 12 мес. + лишение прав до 2 лет + конфискация автомобиля
УК 2643 ч.2 | Управление автомобилем, трамваем либо другим механическим транспортным средством лицом, лишенным права управления транспортными средствами, имеющим судимость за совершение преступления | 200 000 - 300 000 руб., или лишение заработной платы или иного дохода осужденного 12-24 мес., или обязательные работы до 480 часов, или принудительные работы до 24 мес., или лишение свободы до 24 мес. + лишение прав до 3 лет + конфискация автомобиля
12.8 ч.1 | Управление транспортным средством водителем, находящимся в состоянии опьянения, если такие действия не содержат уголовно наказуемого деяния | 30 000 руб., отстранение от управления, задержание транспортного средства, лишение прав 18-24 месяцев
12.8 ч.2 | Передача управления транспортным средством лицу, находящемуся в состоянии опьянения | 30 000 руб., лишение прав 18-24 месяцев
12.8 ч.3 | Управление транспортным средством водителем, находящимся в состоянии опьянения и не имеющим права управления транспортными средствами либо лишенным права управления транспортными средствами, если такие действия не содержат уголовно наказуемого деяния | административный арест 10 - 15 суток или 30 000 руб., отстранение от управления, задержание транспортного средства
УК 2641 ч.1 | Управление автомобилем, трамваем либо другим механическим транспортным средством лицом, находящимся в состоянии опьянения, подвергнутым административному наказанию за управление транспортным средством в состоянии опьянения или за невыполнение законного требования уполномоченного должностного лица отстранение от управления прохождении медицинского освидетельствования на состояние опьянения | 200 000 - 300 000 руб., или лишение заработной платы или иного дохода осужденного 12-24 мес., или обязательные работы до 480 часов, или принудительные работы до 24 мес., или лишение свободы до 24 мес. + лишение прав до 3 лет + конфискация автомобиля
УК 2641 ч.2 | Управление автомобилем, трамваем либо другим механическим транспортным средством лицом, находящимся в состоянии опьянения, имеющим судимость за совершение в состоянии опьянения преступления, предусмотренного частями второй, четвертой или шестой статьи 264 настоящего Кодекса либо настоящей статьей | 300 000 - 500 000 руб., или лишение заработной платы или иного дохода осужденного 24-36 мес., или исправительные работы до 2 лет, или ограничение свободы до 3 лет, или принудительные работы до 36 мес., или лишение свободы до 36 мес. + лишение прав до 6 лет + конфискация автомобиля
12.9 ч.2 | Превышение установленной скорости движения транспортного средства на величину более 20, но не более 40 километров в час | 500 руб.
12.9 ч.3 | Превышение установленной скорости движения транспортного средства на величину более 40, но не более 60 километров в час | 1 000 – 1 500 руб.
12.9 ч.4 | Превышение установленной скорости движения транспортного средства на величину более 60, но не более 80 километров в час | 2 000 – 2 500 руб. или лишение прав 4-6 месяцев
12.9 ч.5 | Превышение установленной скорости движения транспортного средства на величину более 80 километров в час | 5 000 руб. или лишение прав 6 месяцев
12.9 ч.6 | Повторное совершение административного правонарушения, предусмотренного частью 3 настоящей статьи | 2 000 – 2 500 руб.
12.9 ч.7 | Повторное совершение административного правонарушения, предусмотренного частями 4 и 5 настоящей статьи | лишение прав 1 год или 5 000 руб.
12.10 ч.1 | Пересечение железнодорожного пути вне железнодорожного переезда, выезд на железнодорожный переезд при закрытом или закрывающемся шлагбауме либо при запрещающем сигнале светофора или дежурного по переезду, остановка или стоянка на железнодорожном переезде либо проезд через нерегулируемый железнодорожный переезд, если к переезду в пределах видимости приближается поезд (локомотив, дрезина) | 5 000 руб. или лишение прав 3-6 месяцев
12.10 ч.2 | Нарушение правил проезда через железнодорожные переезды, за исключением случаев, предусмотренных частью 1 настоящей статьи | 5 000 руб.
12.10 ч.3 | Повторное совершение административного правонарушения, предусмотренного частью 1 настоящей статьи | лишение прав 12 месяцев
12.11 ч.1 | Движение по автомагистрали на транспортном средстве, скорость которого по технической характеристике или по его состоянию менее 40 километров в час, а равно остановка транспортного средства на автомагистрали вне специальных площадок для стоянки | 1 000 руб.
12.11 ч.2 | Движение на грузовом автомобиле с разрешенной максимальной массой более 3,5 тонны по автомагистрали далее второй полосы, а равно учебная езда по автомагистрали | 1 000 руб.
12.11 ч.3 | Разворот или въезд транспортного средства в технологические разрывы разделительной полосы на автомагистрали либо движение задним ходом по автомагистрали | 2 500 руб.
12.12 ч.1 | Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика, за исключением случаев, предусмотренных частью 1 статьи 12.10 настоящего Кодекса и частью 2 настоящей статьи | 1000 руб.
12.12 ч.2 | Невыполнение требования Правил дорожного движения об остановке перед стоп-линией, обозначенной дорожными знаками или разметкой проезжей части дороги, при запрещающем сигнале светофора или запрещающем жесте регулировщика | 800 руб.
12.12 ч.3 | Повторное совершение административного правонарушения, предусмотренного частью 1 настоящей статьи | 5 000 руб. или лишение прав 4-6 месяцев
12.13 ч.1 | Выезд на перекресток или пересечение проезжей части дороги в случае образовавшегося затора, который вынудил водителя остановиться, создав препятствие для движения транспортных средств в поперечном направлении | 1000 руб.
12.13 ч.2 | Невыполнение требования Правил дорожного движения уступить дорогу транспортному средству, пользующемуся преимущественным правом проезда перекрестков | 1000 руб.
12.14 ч.1 | Невыполнение требования Правил дорожного движения подать сигнал перед началом движения, перестроением, поворотом, разворотом или остановкой | предупреждение или 500 руб.
12.14 ч.11 | Невыполнение требования Правил дорожного движения, за исключением установленных случаев, перед поворотом направо, налево или разворотом заблаговременно занять соответствующее крайнее положение на проезжей части, предназначенной для движения в данном направлении | предупреждение или 500 руб.
12.14 ч.2 | Разворот или движение задним ходом в местах, где такие маневры запрещены, за исключением случаев, предусмотренных частью 3 статьи 12.11 и частью 2 статьи 12.16 настоящего Кодекса | 500 руб.
12.14 ч.3 | Невыполнение требования Правил дорожного движения уступить дорогу транспортному средству, пользующемуся преимущественным правом движения, за исключением случаев, предусмотренных частью 2 статьи 12.13 и статьей 12.17 настоящего Кодекса | предупреждение или 500 руб.
12.15 ч.1 | Нарушение правил расположения транспортного средства на проезжей части дороги, встречного разъезда, а равно движение по обочинам или пересечение организованной транспортной или пешей колонны либо занятие места в ней | 1 500 руб.
12.15 ч.11 | Невыполнение водителем тихоходного транспортного средства, транспортного средства, перевозящего крупногабаритный груз, или транспортного средства, двигающегося со скоростью, не превышающей 30 километров в час, вне населенных пунктов требования Правил дорожного движения пропустить следующие за ним транспортные средства для обгона или опережения | 1 000 – 1 500 руб.
12.15 ч.2 | Движение по велосипедным или пешеходным дорожкам либо тротуарам в нарушение Правил дорожного движения | 2 000 руб.
12.15 ч.3 | Выезд в нарушение Правил дорожного движения на полосу, предназначенную для встречного движения, при объезде препятствия либо на трамвайные пути встречного направления при объезде препятствия | 1 000 – 1 500 руб.
12.15 ч.4 | Выезд в нарушение Правил дорожного движения на полосу, предназначенную для встречного движения, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи | 5 000 руб. или лишение прав 4-6 месяцев.
12.15 ч.5 | Повторное совершение административного правонарушения, предусмотренного частью 4 настоящей статьи | лишение прав 12 месяцев или 5 000 руб.
12.16 ч.1 | Несоблюдение требований, предписанных дорожными знаками или разметкой проезжей части дороги, за исключением случаев, предусмотренных частями 2 – 7 настоящей статьи и другими статьями настоящей главы | предупреждение или 500 руб.
12.16 ч.2 | Поворот налево или разворот в нарушение требований, предписанных дорожными знаками или разметкой проезжей части дороги | 1 000 – 1 500 руб.
12.16 ч.3 | Движение во встречном направлении по дороге с односторонним движением | 5 000 руб. или лишение прав на 4-6 месяцев
12.16 ч.31 | Повторное совершение административного правонарушения, предусмотренного частью 3 настоящей статьи | лишение прав на 12 месяцев или 5 000 руб.
12.16 ч.4 | Несоблюдение требований, предписанных дорожными знаками или разметкой проезжей части дороги, запрещающими остановку или стоянку транспортных средств, за исключением случая, предусмотренного частью 5 настоящей статьи | 1 500 руб., задержание транспортного средства
12.16 ч.6 | Несоблюдение требований, предписанных дорожными знаками, запрещающими движение грузовых транспортных средств, за исключением случая, предусмотренного частью 7 настоящей статьи | 500 руб.
12.17 ч.1 | Непредоставление преимущества в движении маршрутному транспортному средству, а равно транспортному средству с одновременно включенными проблесковым маячком синего цвета и специальным звуковым сигналом | предупреждение или 500 руб.
12.17 ч.11 | Движение транспортных средств по полосе для маршрутных транспортных средств или остановка на указанной полосе в нарушение Правил дорожного движения, за исключением случаев, предусмотренных частями 3 - 5 статьи 12.15 настоящего Кодекса, и случая, предусмотренного частью 12 настоящей статьи | 1 500 руб.
12.17 ч.2 | Непредоставление преимущества в движении транспортному средству, имеющему нанесенные на наружные поверхности специальные цветографические схемы, надписи и обозначения, с одновременно включенными проблесковым маячком синего цвета и специальным звуковым сигналом | 3 000 - 5 000 руб. или лишение прав на 3-12 месяцев
12.18 | Невыполнение требования Правил дорожного движения уступить дорогу пешеходам, велосипедистам или иным участникам дорожного движения (за исключением водителей транспортных средств), пользующимся преимуществом в движении | 1 500 - 2 500 руб.
12.19 ч.1 | Нарушение правил остановки или стоянки транспортных средств, за исключением случаев, предусмотренных частью 1 статьи 12.10 настоящего Кодекса и частями 2 - 6 настоящей статьи | предупреждение или 500 руб.
12.19 ч.2 | Нарушение правил остановки или стоянки транспортных средств в местах, отведенных для остановки или стоянки транспортных средств инвалидов | 5 000 руб., задержание транспортного средства
12.19 ч.3 | Остановка или стоянка транспортных средств на пешеходном переходе и ближе 5 метров перед ним, за исключением вынужденной остановки и случая, предусмотренного частью 6 настоящей статьи, либо нарушение правил остановки или стоянки транспортных средств на тротуаре, за исключением случая, предусмотренного частью 6 настоящей статьи | 1 000 руб., задержание транспортного средства
12.19 ч.31 | Остановка или стоянка транспортных средств в местах остановки маршрутных транспортных средств или стоянки легковых такси либо ближе 15 метров от мест остановки маршрутных транспортных средств или стоянки легковых такси, за исключением остановки для посадки или высадки пассажиров, вынужденной остановки и случаев, предусмотренных частями 4 и 6 настоящей статьи | 1 000 руб., задержание транспортного средства
12.19 ч.32 | Остановка или стоянка транспортных средств на трамвайных путях либо остановка или стоянка транспортных средств далее первого ряда от края проезжей части, за исключением вынужденной остановки и случаев, предусмотренных частями 4 и 6 настоящей статьи | 1 500 руб., задержание транспортного средства
12.19 ч.4 | Нарушение правил остановки или стоянки транспортных средств на проезжей части, повлекшее создание препятствий для движения других транспортных средств, а равно остановка или стоянка транспортного средства в тоннеле, за исключением случая, предусмотренного частью 6 настоящей статьи | 2 000 руб., задержание транспортного средства
12.19 ч.6 | Нарушения, предусмотренные частями 3 - 4 настоящей статьи, совершенные в городе федерального значения Москве или Санкт-Петербурге | 3 000 руб., задержание транспортного средства
12.20 | Нарушение правил пользования внешними световыми приборами, звуковыми сигналами, аварийной сигнализацией или знаком аварийной остановки | предупреждение или 500 руб.
12.21 ч.1 | Нарушение правил перевозки грузов, а равно правил буксировки | предупреждение или 500 руб.
12.23 ч.1 | Нарушение правил перевозки людей, за исключением случаев, предусмотренных частями 2 и 3 настоящей статьи | 500 руб.
12.23 ч.2 | Перевозка людей вне кабины автомобиля (за исключением случаев, разрешенных Правилами дорожного движения), трактора, других самоходных машин, на грузовом прицепе, в прицепе-даче, в кузове грузового мотоцикла или вне предусмотренных конструкцией мотоцикла мест для сидения | 1 000 руб.
12.23 ч.3 | Нарушение требований к перевозке детей, установленных Правилами дорожного движения | 3 000 руб.
12.214 ч.1 | Неисполнение обязанности по внесению платы за проезд транспортного средства по платным автомобильным дорогам | 1 500 руб.
12.214 ч.2 | Неисполнение обязанности по внесению платы за проезд грузового транспортного средства или автобуса по платным автомобильным дорогам | 5 000 руб.
12.24 ч.1 | Нарушение Правил дорожного движения или правил эксплуатации транспортного средства, повлекшее причинение легкого вреда здоровью потерпевшего | 2 500 – 5 000 руб. или лишение прав на 12-18 мес.
12.24 ч.2 | Нарушение Правил дорожного движения или правил эксплуатации транспортного средства, повлекшее причинение средней тяжести вреда здоровью потерпевшего | 10 000 - 25 000 руб. или лишение прав 18-24 мес.
УК 264 ч.1 | Нарушение лицом, управляющим автомобилем, трамваем либо другим механическим транспортным средством, правил дорожного движения или эксплуатации транспортных средств, повлекшее по неосторожности причинение тяжкого вреда здоровью человека | ограничение свободы до 3 лет, или принудительные работы до 2 лет, или арест до 6 мес. или лишение свободы до 2 лет + лишение прав до 3 лет
12.27 ч.1 | Невыполнение водителем обязанностей, предусмотренных Правилами дорожного движения, в связи с дорожно-транспортным происшествием, участником которого он является, за исключением случаев, предусмотренных частью 2 настоящей статьи | 1 000 руб.
12.27 ч.2 | Оставление водителем в нарушение Правил дорожного движения места дорожно-транспортного происшествия, участником которого он являлся, при отсутствии признаков уголовно наказуемого деяния | лишение прав на 12-18 месяцев или административный арест до 15 суток
12.27 ч.3 | Употребление алкогольных напитков, наркотических или психотропных веществ после дорожно-транспортного происшествия или остановки сотрудником полиции | 30 000 руб., лишение прав на 18-24 месяцев, задержание транспортного средства
12.25 ч.1 | Невыполнение требования отстранение от управления предоставлении транспортного средства сотрудникам полиции или иным лицам, которым в случаях, предусмотренных законодательством, предоставлено право использовать транспортные средства | 500 руб.
12.25 ч.2 | Невыполнение законного требования сотрудника полиции, должностного лица таможенного органа или должностного лица федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере транспорта, об остановке транспортного средства | 500-800 руб.
12.26 ч.1 | Невыполнение водителем законного требования сотрудника полиции отстранение от управления прохождении медицинского освидетельствования на состояние опьянения, если такие действия (бездействие) не содержат уголовно наказуемого деяния | 30 000 руб., лишение прав на 18-24 месяцев., отстранение от управления, задержание транспортного средства
12.26 ч.2 | Невыполнение водителем, не имеющим права управления транспортными средствами либо лишенным права управления транспортными средствами, законного требования сотрудника полиции отстранение от управления прохождении медицинского освидетельствования на состояние опьянения, если такие действия (бездействие) не содержат уголовно наказуемого деяния | административный арест на 10-15 суток или 30 000 руб., отстранение от управления, задержание транспортного средства
12.37 ч.1 | Управление транспортным средством в период его использования, не предусмотренный страховым полисом обязательного страхования гражданской ответственности владельцев транспортного средства, а равно управление транспортным средством с нарушением предусмотренного данным страховым полисом условия управления этим транспортным средством только указанными в данном страховом полисе водителями | 500 руб.
12.37 ч.2 | Неисполнение владельцем транспортного средства установленной федеральным законом обязанности по страхованию своей гражданской ответственности, а равно управление транспортным средством, если такое обязательное страхование заведомо отсутствует | 800 руб.
12.28 ч.1 | Нарушение правил, установленных для движения транспортных средств в жилых зонах, за исключением случая, предусмотренного частью 2 настоящей статьи | 1 500 руб.
12.33 | Повреждение дорог, железнодорожных переездов или других дорожных сооружений либо технических средств организации дорожного движения, которое создает угрозу безопасности дорожного движения, а равно умышленное создание помех в дорожном движении, в том числе путем загрязнения дорожного покрытия | 5 000 - 10 000 руб.
12.361 | Пользование водителем во время движения транспортного средства телефоном, не оборудованным техническим устройством, позволяющим вести переговоры без использования рук | 1 500 руб.
