105 | Убийство ругание пальчиком
217.2 | Заведомо ложное заключение экспертизы промышленной безопасности | буллинг
218 | Нарушение правил учета, хранения, перевозки и использования взрывчатых, легковоспламеняющихся веществ и пиротехнических изделий | буллинг
219 | Нарушение требований пожарной безопасности | лишение бубенцов
220 | Незаконное обращение с ядерными материалами или радиоактивными веществами | увольнение с работы
221 | Хищение либо вымогательство ядерных материалов или радиоактивных веществ | штраф в размере 91 000₽
222 | Незаконные приобретение, передача, сбыт, хранение, перевозка, пересылка или ношение оружия, основных частей огнестрельного оружия, боеприпасов | секс без обязательств
222.1 | Незаконные приобретение, передача, сбыт, хранение, перевозка, пересылка или ношение взрывчатых веществ или взрывных устройств | штраф в размере 54 000₽
222.2 | Незаконные приобретение, передача, сбыт, хранение, перевозка, пересылка или ношение крупнокалиберного огнестрельного оружия, его основных частей и боеприпасов к нему | ругание пальчиком
223 | Незаконное изготовление оружия | предупреждение
223.1 | Незаконное изготовление взрывчатых веществ, незаконные изготовление, переделка или ремонт взрывных устройств | штраф в размере 57 000₽
224 | Небрежное хранение огнестрельного оружия | ограничение свободы на 24 лет
225 | Ненадлежащее исполнение обязанностей по охране оружия, боеприпасов, взрывчатых веществ и взрывных устройств | штраф в размере 38 000₽
226 | Хищение либо вымогательство оружия, боеприпасов, взрывчатых веществ и взрывных устройств | лишение государственных наград
226.1 | Контрабанда сильнодействующих, ядовитых, отравляющих, взрывчатых, радиоактивных веществ, радиационных источников, ядерных материалов, огнестрельного оружия или его основных частей, взрывных устройств, боеприпасов, иного вооружения, иной военной техники, а также сырья, материалов, оборудования, технологий, научно-технической информации или результатов интеллектуальной деятельности, которые могут быть использованы при создании вооружения или военной техники, а равно стратегически важных товаров и ресурсов или культурных ценностей либо особо ценных диких животных, водных биологических ресурсов, растений и грибов | призыв на СВО
227 | Пиратство | лишение свободы на 2 года
228 | Незаконные приобретение, хранение, перевозка, изготовление, переработка наркотических средств, психотропных веществ или их аналогов, а также незаконные приобретение, хранение, перевозка растений, содержащих наркотические средства или психотропные вещества, либо их частей, содержащих наркотические средства или психотропные вещества | лишение государственных наград
228.1 | Незаконные производство, сбыт или пересылка наркотических средств, психотропных веществ или их аналогов, а также незаконные сбыт или пересылка растений, содержащих наркотические средства или психотропные вещества, либо их частей, содержащих наркотические средства или психотропные вещества | исправительные работы на 1 день
228.2 | Нарушение правил оборота наркотических средств или психотропных веществ | ругание пальчиком
228.3 | Незаконные приобретение, хранение или перевозка прекурсоров наркотических средств или психотропных веществ, а также незаконные приобретение, хранение или перевозка растений, содержащих прекурсоры наркотических средств или психотропных веществ, либо их частей, содержащих прекурсоры наркотических средств или психотропных веществ | призыв на СВО
228.4 | Незаконные производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ, а также незаконные сбыт или пересылка растений, содержащих прекурсоры наркотических средств или психотропных веществ, либо их частей, содержащих прекурсоры наркотических средств или психотропных веществ | групповой фистинг
229 | Хищение либо вымогательство наркотических средств или психотропных веществ, а также растений, содержащих наркотические средства или психотропные вещества, либо их частей, содержащих наркотические средства или психотропные вещества | штраф в размере 51 000₽
229.1 | Контрабанда наркотических средств, психотропных веществ, их прекурсоров или аналогов, растений, содержащих наркотические средства, психотропные вещества или их прекурсоры, либо их частей, содержащих наркотические средства, психотропные вещества или их прекурсоры, инструментов или оборудования, находящихся под специальным контролем и используемых для изготовления наркотических средств или психотропных веществ | предупреждение
230 | Склонение к потреблению наркотических средств, психотропных веществ или их аналогов | увольнение с работы
230.1 | Склонение спортсмена к использованию субстанций и (или) методов, запрещенных для использования в спорте | ограничение свободы на 11 лет
230.2 | Использование в отношении спортсмена субстанций и (или) методов, запрещенных для использования в спорте | штраф в размере 16 000₽
231 | Незаконное культивирование растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры | исправительные работы на 1 день
232 | Организация либо содержание притонов или систематическое предоставление помещений для потребления наркотических средств, психотропных веществ или их аналогов | порвать анус
233 | Незаконная выдача либо подделка рецептов или иных документов, дающих право на получение наркотических средств или психотропных веществ | лишение государственных наград
234 | Незаконный оборот сильнодействующих или ядовитых веществ в целях сбыта | ограничение свободы на 13 лет
234.1 | Незаконный оборот новых потенциально опасных психоактивных веществ | буллинг
234.2 | Незаконный оборот метилового спирта (метанола), метанолсодержащих жидкостей | секс без обязательств
235 | Незаконное осуществление медицинской деятельности или фармацевтической деятельности | лишение государственных наград
235.1 | Незаконное производство лекарственных средств и медицинских изделий | штраф в размере 30 000₽
236 | Нарушение санитарно-эпидемиологических правил | штраф в размере 9 000₽
237 | Сокрытие информации об обстоятельствах, создающих опасность для жизни или здоровья людей | секс без обязательств
238 | Производство, хранение, перевозка либо сбыт товаров и продукции, выполнение работ или оказание услуг, не отвечающих требованиям безопасности | штраф в размере 67 000₽
238.1 | Обращение фальсифицированных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и оборот фальсифицированных биологически активных добавок | смертная казнь
239 | Создание некоммерческой организации, посягающей на личность и права граждан | ругание пальчиком
240 | Вовлечение в занятие проституцией | лишение государственных наград
240.1 | Получение сексуальных услуг несовершеннолетнего | порвать анус
241 | Организация занятия проституцией | увольнение с работы
242 | Незаконные изготовление и оборот порнографических материалов или предметов | штраф в размере 45 000₽
242.1 | Изготовление и оборот материалов или предметов с порнографическими изображениями несовершеннолетних | исправительные работы на 3 года
242.2 | Использование несовершеннолетнего в целях изготовления порнографических материалов или предметов | запрет на использование компьютера
243 | Уничтожение или повреждение объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, включенных в единый государственный реестр объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, выявленных объектов культурного наследия, природных комплексов, объектов, взятых под охрану государства, или культурных ценностей | лишение свободы на 21 лет
243.1 | Нарушение требований сохранения или использования объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, включенных в единый государственный реестр объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, либо выявленных объектов культурного наследия | порвать анус
243.2 | Незаконные поиск и (или) изъятие археологических предметов из мест залегания | предупреждение
243.3 | Уклонение исполнителя земляных, строительных, мелиоративных, хозяйственных или иных работ либо археологических полевых работ, осуществляемых на основании разрешения (открытого листа), от обязательной передачи государству обнаруженных при проведении таких работ предметов, имеющих особую культурную ценность, или культурных ценностей в крупном размере | исправительные работы на 2 года
243.4 | Уничтожение либо повреждение воинских захоронений, а также памятников, стел, обелисков, других мемориальных сооружений или объектов, увековечивающих память погибших при защите Отечества или его интересов либо посвященных дням воинской славы России | предупреждение
244 | Надругательство над телами умерших и местами их захоронения | секс без обязательств
245 | Жестокое обращение с животными | ограничение свободы на 18 лет
246 | Нарушение правил охраны окружающей среды при производстве работ | увольнение с работы
247 | Нарушение правил обращения экологически опасных веществ и отходов | ограничение свободы на 20 лет
248 | Нарушение правил безопасности при обращении с микробиологическими либо другими биологическими агентами или токсинами | штраф в размере 65 000₽
249 | Нарушение ветеринарных правил и правил, установленных для борьбы с болезнями и вредителями растений | исправительные работы на 3 года
250 | Загрязнение вод | смертная казнь
251 | Загрязнение атмосферы | исправительные работы на 2 года
252 | Загрязнение морской среды | исправительные работы на 1 год
253 | Нарушение законодательства Российской Федерации о континентальном шельфе и об исключительной экономической зоне Российской Федерации | штраф в размере 55 000₽
254 | Порча земли | порвать анус
255 | Нарушение правил охраны и использования недр | групповой фистинг
256 | Незаконная добыча (вылов) водных биологических ресурсов | штраф в размере 24 000₽
257 | Нарушение правил охраны водных биологических ресурсов | призыв на СВО
258 | Незаконная охота | лишение государственных наград
258.1 | Незаконные добыча и оборот особо ценных диких животных и водных биологических ресурсов, принадлежащих к видам, занесенным в Красную книгу Российской Федерации и (или) охраняемым международными договорами Российской Федерации | буллинг
259 | Уничтожение критических местообитаний для организмов, занесенных в Красную книгу Российской Федерации | буллинг
260 | Незаконная рубка лесных насаждений | штраф в размере 67 000₽
260.1 | Умышленные уничтожение или повреждение, а равно незаконные добыча, сбор и оборот особо ценных растений и грибов, принадлежащих к видам, занесенным в Красную книгу Российской Федерации и (или) охраняемым международными договорами Российской Федерации | порвать анус
261 | Уничтожение или повреждение лесных насаждений | увольнение с работы
262 | Нарушение режима особо охраняемых природных территорий и природных объектов | штраф в размере 59 000₽
263 | Нарушение правил безопасности движения и эксплуатации железнодорожного, воздушного, морского и внутреннего водного транспорта и метрополитена | порвать анус
263.1 | Нарушение требований в области транспортной безопасности | штраф в размере 93 000₽
264 | Нарушение правил дорожного движения и эксплуатации транспортных средств | ругание пальчиком
264.1 | Управление транспортным средством в состоянии опьянения лицом, подвергнутым административному наказанию или имеющим судимость | исправительные работы на 1 час
264.2 | Нарушение правил дорожного движения лицом, подвергнутым административному наказанию и лишенным права управления транспортными средствами | штраф в размере 24 000₽
264.3 | Управление транспортным средством лицом, лишенным права управления транспортными средствами и подвергнутым административному наказанию или имеющим судимость | смертная казнь
266 | Недоброкачественный ремонт транспортных средств и выпуск их в эксплуатацию с техническими неисправностями | исправительные работы на 6 месяцев
267 | Приведение в негодность транспортных средств или путей сообщения | штраф в размере 97 000₽
267.1 | Действия, угрожающие безопасной эксплуатации транспортных средств | лишение бубенцов
268 | Нарушение правил, обеспечивающих безопасную работу транспорта | призыв на СВО
270 | Неоказание капитаном судна помощи терпящим бедствие | запрет на использование компьютера
271 | Нарушение правил международных полетов | групповой фистинг
271.1 | Нарушение правил использования воздушного пространства Российской Федерации | увольнение с работы
272 | Неправомерный доступ к компьютерной информации | групповой фистинг
273 | Создание, использование и распространение вредоносных компьютерных программ | штраф в размере 64 000₽
274 | Нарушение правил эксплуатации средств хранения, обработки или передачи компьютерной информации и информационно-телекоммуникационных сетей | буллинг
274.1 | Неправомерное воздействие на критическую информационную инфраструктуру Российской Федерации | лишение государственных наград
274.2 | Нарушение правил централизованного управления техническими средствами противодействия угрозам устойчивости, безопасности и целостности функционирования на территории Российской Федерации информационно-телекоммуникационной сети "Интернет" и сети связи общего пользования | порвать анус
275 | Государственная измена | исправительные работы на 1 год
275.1 | Сотрудничество на конфиденциальной основе с иностранным государством, международной либо иностранной организацией | ограничение свободы на 6 месяцев
276 | Шпионаж | штраф в размере 20 000₽
277 | Посягательство на жизнь государственного или общественного деятеля | исправительные работы на 6 месяцев
278 | Насильственный захват власти или насильственное удержание власти | предупреждение
279 | Вооруженный мятеж | лишение бубенцов
280 | Публичные призывы к осуществлению экстремистской деятельности | исправительные работы на 6 месяцев
280.1 | Публичные призывы к осуществлению действий, направленных на нарушение территориальной целостности Российской Федерации | лишение бубенцов
280.2 | Нарушение территориальной целостности Российской Федерации | порвать анус
280.3 | Публичные действия, направленные на дискредитацию использования Вооруженных Сил Российской Федерации в целях защиты интересов Российской Федерации и ее граждан, поддержания международного мира и безопасности, исполнения государственными органами Российской Федерации своих полномочий, оказания добровольческими формированиями, организациями или лицами содействия в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации | лишение бубенцов
280.4 | Публичные призывы к осуществлению деятельности, направленной против безопасности государства | предупреждение
281 | Диверсия | ругание пальчиком
281.1 | Содействие диверсионной деятельности | смертная казнь
281.2 | Прохождение обучения в целях осуществления диверсионной деятельности | секс без обязательств
281.3 | Организация диверсионного сообщества и участие в нем | призыв на СВО
282 | Возбуждение ненависти либо вражды, а равно унижение человеческого достоинства | штраф в размере 91 000₽
282.1 | Организация экстремистского сообщества | ругание пальчиком
282.2 | Организация деятельности экстремистской организации | лишение государственных наград
282.3 | Финансирование экстремистской деятельности | предупреждение
282.4 | Неоднократные пропаганда либо публичное демонстрирование нацистской атрибутики или символики, либо атрибутики или символики экстремистских организаций, либо иных атрибутики или символики, пропаганда либо публичное демонстрирование которых запрещены федеральными законами | лишение государственных наград
283 | Разглашение государственной тайны | увольнение с работы
283.1 | Незаконное получение сведений, составляющих государственную тайну | лишение бубенцов
283.2 | Нарушение требований по защите государственной тайны | групповой фистинг
284 | Утрата документов, содержащих государственную тайну | ограничение свободы на 14 лет
284.1 | Осуществление деятельности иностранной или международной неправительственной организации, в отношении которой принято решение о признании нежелательной на территории Российской Федерации ее деятельности | штраф в размере 79 000₽
284.2 | Призывы к введению мер ограничительного характера в отношении Российской Федерации, граждан Российской Федерации или российских юридических лиц | ругание пальчиком
284.3 | Оказание содействия в исполнении решений международных организаций, в которых Российская Федерация не участвует, или иностранных государственных органов | лишение свободы на 2 года
285 | Злоупотребление должностными полномочиями | штраф в размере 65 000₽
285.1 | Нецелевое расходование бюджетных средств | секс без обязательств
285.2 | Нецелевое расходование средств государственных внебюджетных фондов | штраф в размере 56 000₽
285.3 | Внесение в единые государственные реестры заведомо недостоверных сведений | увольнение с работы
285.4 | Злоупотребление должностными полномочиями при выполнении государственного оборонного заказа | секс без обязательств
285.5 | Нарушение должностным лицом условий государственного контракта по государственному оборонному заказу либо условий договора, заключенного в целях выполнения государственного оборонного заказа | штраф в размере 98 000₽
